T,Flux,E
5422.66626,13.921,0.003
5422.71113,13.922,0.003
5422.75245,13.925,0.003
5423.48004,13.916,0.003
5423.49503,13.916,0.003
5423.50880,13.918,0.003
5423.52195,13.918,0.003
5423.53708,13.916,0.003
5423.58034,13.921,0.003
5423.62668,13.921,0.003
5423.67105,13.918,0.003
5423.68822,13.921,0.003
5425.48899,13.919,0.003
5425.50244,13.916,0.003
5425.51711,13.916,0.003
5425.53014,13.919,0.003
5425.54377,13.916,0.003
5426.48378,13.913,0.003
5426.49741,13.912,0.003
5426.51044,13.918,0.003
5426.52323,13.919,0.003
5426.53647,13.915,0.003
5426.58945,13.917,0.003
5426.63145,13.920,0.003
5426.68769,13.917,0.003
5426.72994,13.922,0.003
5430.47047,13.925,0.003
5430.48334,13.919,0.003
5430.49600,13.920,0.003
5430.50926,13.921,0.003
5430.52247,13.923,0.003
5430.54244,13.923,0.003
5430.55532,13.923,0.003
5430.56802,13.920,0.003
5430.58074,13.917,0.003
5430.59338,13.919,0.003
5430.60721,13.920,0.003
5430.61968,13.919,0.003
5430.63239,13.924,0.003
5430.64519,13.926,0.003
5430.66087,13.922,0.003
5431.47137,13.916,0.003
5431.48436,13.919,0.003
5431.49706,13.915,0.003
5431.51014,13.913,0.003
5431.52382,13.919,0.003
5431.53774,13.911,0.003
5431.55041,13.915,0.003
5431.56312,13.922,0.003
5431.57573,13.918,0.003
5431.58817,13.919,0.003
5431.60463,13.919,0.003
5431.61710,13.914,0.003
5431.62963,13.921,0.003
5431.64223,13.920,0.003
5431.65477,13.919,0.003
5431.66878,13.927,0.003
5431.68318,13.918,0.003
5432.52109,13.921,0.003
5432.53908,13.924,0.003
5432.60957,13.912,0.003
5432.63420,13.922,0.003
5432.64679,13.924,0.003
5432.66308,13.926,0.003
5433.52945,13.929,0.003
5433.62515,13.922,0.003
5433.63781,13.921,0.003
5433.65745,13.923,0.003
5433.67069,13.922,0.003
5433.68313,13.921,0.003
5434.48314,13.922,0.003
5434.50072,13.923,0.003
5434.51452,13.922,0.003
5434.52823,13.920,0.003
5434.54660,13.916,0.003
5434.55934,13.925,0.003
5434.57259,13.918,0.003
5434.58500,13.921,0.003
5434.59767,13.919,0.003
5434.61497,13.919,0.003
5434.63224,13.920,0.003
5434.64479,13.923,0.003
5434.65971,13.919,0.003
5434.67466,13.920,0.003
5434.68717,13.927,0.003
5434.69980,13.928,0.003
5435.47363,13.928,0.003
5435.48643,13.921,0.003
5435.49922,13.925,0.003
